"Arrogant","Creative","Confident","Desirable","Humorous","Decision","Female","Age","Rater.Age","word.count"
1,5,7,7,5,2,1,30,39,126
5,3,7,6,4,2,1,34,38,71
3,5,4,1,5,1,1,29,22,84
3,5,5,5,4,2,1,23,28,137
2,6,6,3,4,2,1,25,45,130
3,5,5,5,3,2,1,35,45,131
1,2,5,2,1,1,1,41,23,35
2,5,6,6,4,2,1,29,30,88
1,4,4,4,4,1,1,24,40,36
1,7,7,7,6,2,1,32,30,113
1,3,3,3,4,1,1,28,42,70
1,6,5,6,4,2,1,31,31,78
2,6,5,6,4,2,1,32,24,73
3,3,7,4,3,1,1,20,30,75
1,7,7,7,7,2,1,31,22,116
6,6,7,5,7,2,1,48,28,80
6,4,7,5,3,2,1,21,29,204
2,5,4,2,3,1,1,36,39,66
2,4,5,5,4,2,1,22,39,64
2,5,6,5,3,2,1,30,28,122
2,4,3,2,3,1,1,26,41,77
5,6,6,4,3,1,1,45,30,35
1,6,5,1,4,1,1,31,33,52
1,3,3,6,1,2,1,22,35,42
6,2,6,3,3,1,1,21,30,44
4,3,6,4,3,2,1,18,21,71
7,1,4,1,1,1,1,34,28,86
4,4,4,4,4,1,1,22,22,53
6,6,6,6,6,2,1,29,22,95
6,3,6,3,1,1,1,29,35,182
1,3,5,5,3,2,1,25,35,122
2,3,5,5,4,1,1,28,31,166
3,3,3,3,4,1,1,18,34,80
5,5,6,4,3,2,1,30,24,72
7,1,7,1,1,1,1,32,50,40
4,5,7,6,5,2,1,32,19,178
3,5,6,3,7,1,1,25,49,96
3,2,2,2,3,1,1,29,29,38
6,3,5,2,1,1,1,20,29,72
3,4,4,4,3,1,1,21,37,32
2,7,7,7,3,2,1,40,26,94
3,5,5,5,4,2,1,28,25,135
2,3,5,3,3,1,1,27,24,124
5,3,5,2,3,1,1,24,49,111
3,3,3,3,3,1,1,32,30,59
2,2,4,3,2,1,1,19,27,38
3,5,4,5,4,2,1,19,25,74
3,5,6,5,6,2,1,20,26,63
3,4,4,5,4,2,1,43,27,254
5,5,5,5,5,2,1,26,29,66
5,5,7,7,3,2,1,26,32,239
1,3,4,4,3,2,1,34,34,86
2,5,5,5,4,2,1,29,28,106
7,1,7,2,1,1,1,18,20,71
2,3,4,3,2,1,1,29,21,125
1,2,1,1,2,1,1,28,26,143
1,5,5,5,4,2,1,22,28,57
6,5,6,4,3,2,1,19,27,79
2,5,6,5,5,2,1,37,27,117
3,5,5,5,3,2,1,20,29,94
6,4,7,5,5,1,1,24,48,92
3,5,5,5,4,2,1,23,21,133
2,5,3,5,4,2,1,24,27,91
2,7,7,7,7,2,1,34,26,111
6,2,7,1,2,1,1,19,27,74
4,3,3,3,2,1,1,37,40,50
1,5,4,5,3,2,1,26,22,175
3,1,3,1,1,1,1,29,22,52
4,4,4,4,4,2,1,46,30,59
2,4,5,5,5,2,1,34,47,93
4,4,4,3,4,1,1,38,22,38
3,4,5,4,3,1,1,26,33,146
3,5,6,6,5,1,1,26,31,87
4,4,5,5,6,2,1,31,22,132
7,2,7,3,2,1,1,31,39,85
2,7,6,6,6,2,1,24,30,121
5,6,6,3,4,1,1,44,23,42
5,7,5,6,7,2,1,25,37,150
1,7,7,7,7,2,1,33,38,110
1,2,3,1,2,1,1,29,38,33
1,4,3,4,1,2,1,27,45,156
3,4,7,6,3,2,1,27,28,100
6,NA,7,3,5,1,1,27,30,120
2,5,4,4,5,1,1,43,40,68
3,6,6,7,2,2,1,34,32,159
3,4,4,3,3,1,1,19,23,74
6,2,7,4,3,1,2,37,29,82
2,3,6,4,3,1,2,33,35,83
7,5,6,1,1,1,2,31,30,56
3,4,4,4,3,2,2,23,30,46
1,4,6,4,3,1,2,25,30,96
5,4,5,4,3,2,2,24,18,72
3,5,7,5,6,2,1,35,32,104
2,4,5,3,5,1,2,32,22,250
5,4,6,5,7,2,2,22,23,131
3,6,5,5,3,2,2,28,26,102
2,3,4,2,3,1,2,38,34,190
2,3,5,3,7,2,2,33,38,99
5,6,6,5,4,2,2,25,24,75
4,5,5,7,4,2,2,28,29,54
2,5,3,2,4,1,2,35,21,200
4,3,6,4,5,1,2,32,21,157
7,2,7,1,1,1,2,38,21,56
7,5,3,2,2,1,1,34,20,356
2,4,3,3,3,2,2,27,29,147
2,5,6,6,4,2,2,30,31,64
1,4,5,4,4,2,2,45,28,163
7,1,7,4,4,1,2,24,28,86
2,5,6,5,4,1,2,36,25,100
1,4,5,5,4,2,2,26,25,42
3,3,5,3,4,1,2,43,26,41
5,2,5,3,3,1,2,22,24,155
2,7,7,6,6,2,2,49,20,49
5,6,6,4,5,2,2,36,22,169
3,4,4,2,2,2,1,28,44,90
3,4,3,3,5,2,1,35,25,50
6,4,6,4,2,1,2,34,18,86
4,4,4,4,7,2,2,20,25,93
3,3,3,3,3,1,2,24,22,91
3,6,5,5,4,2,2,47,33,233
3,4,4,3,2,1,2,40,26,114
2,5,3,5,5,1,2,24,27,108
1,2,4,4,1,1,2,22,21,52
2,5,5,5,4,2,2,38,31,72
6,4,6,4,4,1,2,24,45,120
2,3,4,2,3,1,2,39,23,112
1,6,6,6,2,2,1,25,35,149
1,4,5,5,5,2,2,23,26,69
2,6,2,2,3,1,2,29,24,95
3,6,6,6,3,2,2,35,34,102
4,2,5,5,5,2,2,29,20,91
2,2,6,2,5,1,2,24,24,65
3,3,2,5,3,2,2,24,33,95
5,4,1,3,1,1,2,49,25,93
4,5,3,4,7,2,2,21,24,36
3,3,3,3,3,1,2,47,22,219
3,5,6,4,3,1,2,26,24,159
2,3,4,4,3,2,1,34,43,61
2,4,6,4,4,1,2,29,23,129
2,3,4,3,4,1,2,22,28,72
3,5,3,4,3,2,2,29,31,115
5,2,5,3,1,1,2,24,22,37
4,4,4,3,5,1,2,20,32,122
3,5,7,5,6,2,2,24,32,91
5,6,6,4,5,1,2,33,19,204
1,2,5,1,4,1,2,38,36,130
5,4,5,3,2,1,2,22,32,134
2,2,3,2,2,1,2,26,43,91
7,6,7,3,5,1,1,22,32,32
3,6,6,6,5,1,2,41,25,122
2,3,3,5,3,2,2,25,20,78
3,7,7,7,6,2,2,24,18,56
2,4,5,5,5,1,2,27,19,87
2,4,4,4,3,2,2,25,19,65
3,6,6,5,4,2,2,36,32,98
7,2,6,3,3,1,2,21,23,69
5,6,5,4,5,1,2,29,42,85
4,3,4,3,3,1,2,48,29,99
3,2,2,2,3,1,2,34,18,78
2,2,4,3,2,1,1,35,27,106
3,5,6,6,2,2,2,33,31,126
1,5,5,6,5,2,2,31,23,98
4,5,3,3,2,1,2,22,27,142
1,2,3,6,4,2,2,26,35,104
5,4,5,3,2,1,2,43,33,216
2,4,6,6,6,2,2,34,27,80
6,2,6,6,4,1,2,42,20,68
2,3,3,4,2,1,2,25,31,111
2,6,6,6,6,2,2,27,34,105
2,4,5,5,5,2,2,22,31,100
3,4,4,5,5,1,1,29,30,151
2,6,6,4,5,2,2,30,19,63
5,6,6,5,4,2,2,38,22,305
6,7,6,5,3,1,2,49,27,232
3,4,5,4,4,1,2,33,31,132
1,3,6,6,6,2,2,26,30,87
1,2,4,5,5,2,2,26,21,80
4,4,7,4,5,1,2,46,35,156
1,4,2,4,4,NA,2,31,20,95
4,6,7,4,7,1,2,20,35,46
2,7,5,5,3,1,2,45,18,141
7,6,7,3,3,1,1,19,46,79
3,4,4,3,4,1,2,39,23,95
1,7,3,7,6,2,2,22,28,101
3,5,5,4,4,1,2,25,19,78
1,6,6,5,3,2,2,40,25,92
6,6,6,7,6,2,2,38,26,83
3,7,6,5,3,2,2,33,41,78
4,6,5,6,4,1,2,35,31,56
1,5,7,5,5,2,2,50,27,34
5,1,2,2,2,1,2,23,29,78
1,5,5,7,7,2,2,33,21,119
2,4,4,2,3,1,1,21,31,32
5,3,3,2,3,1,2,25,26,54
3,2,5,4,4,1,2,30,29,104
5,3,5,5,3,1,2,26,26,79
5,5,5,4,2,1,2,50,33,78
1,7,7,6,6,2,2,38,36,135
4,3,4,4,2,2,2,22,31,134
2,1,2,1,1,1,2,NA,28,110
2,6,5,6,3,2,2,35,20,114
3,5,4,5,5,2,2,25,25,131
1,2,6,5,1,2,2,25,29,58
1,7,7,7,6,2,1,23,39,115
4,3,5,5,5,1,2,37,28,123
5,4,5,2,2,1,2,28,27,115
4,4,4,4,4,1,2,29,22,71
1,5,3,3,3,1,2,28,34,62
7,5,6,5,6,2,2,26,23,289
1,4,1,1,1,1,2,24,24,172
4,5,6,4,4,2,2,25,43,97
3,4,6,4,4,1,2,33,23,110
5,5,6,4,3,1,2,21,21,116
5,4,4,4,4,2,2,29,22,76
2,5,3,5,4,2,1,19,33,62
1,3,4,5,4,2,2,30,27,107
2,4,5,7,6,2,2,31,19,105
2,6,6,6,5,2,2,31,45,73
3,5,7,5,6,1,2,40,26,127
7,2,6,2,2,1,2,22,29,168
4,1,5,3,4,1,2,35,20,123
2,4,3,3,5,1,2,26,30,136
2,3,3,3,4,1,2,25,23,90
1,4,6,5,3,2,2,27,28,122
2,2,4,5,3,2,2,26,30,72
4,4,4,4,4,1,1,23,46,70
2,1,3,1,1,1,1,45,44,60
1,6,6,5,6,2,2,31,34,171
6,3,5,3,2,1,2,29,23,176
7,1,7,3,1,2,2,25,21,105
5,3,5,4,3,1,2,28,38,50
3,3,2,3,2,1,2,28,26,83
3,3,2,2,3,1,2,36,32,97
6,6,7,7,6,2,2,31,26,70
2,4,4,3,3,1,2,39,23,100
1,6,4,6,2,2,2,19,43,43
4,3,5,3,4,1,2,46,22,111
3,1,4,4,5,2,1,39,27,55
3,4,2,5,5,1,2,27,27,48
5,4,5,4,5,1,2,31,32,88
2,5,6,5,5,2,2,24,27,77
1,6,6,3,4,1,2,22,37,47
1,NA,7,2,1,1,2,30,21,253
3,2,2,2,2,1,NA,NA,21,NA
3,4,5,3,3,1,2,24,22,175
1,2,4,2,2,1,2,33,22,59
1,7,7,7,7,2,2,18,36,116
2,7,6,6,5,2,2,27,32,187
2,2,6,5,2,2,1,30,32,100
3,7,6,4,4,1,2,33,20,128
6,3,6,5,2,2,2,20,22,111
1,2,5,2,5,1,2,23,36,59
1,1,7,1,5,1,2,40,36,46
6,6,7,4,6,2,2,35,28,77
2,4,3,5,6,2,2,21,27,67
4,3,5,5,3,2,2,48,31,38
5,3,6,6,3,2,2,32,28,89
3,6,6,5,4,2,2,33,24,123
3,5,5,5,5,2,2,30,21,89
4,5,5,4,3,2,1,31,24,62
7,3,6,2,3,NA,2,34,21,134
2,6,5,5,4,2,2,44,24,114
2,7,4,3,2,1,2,24,28,275
6,5,5,5,7,2,2,27,29,75
4,5,4,4,3,2,2,31,18,102
6,2,4,1,1,1,NA,NA,21,NA
5,3,2,2,2,1,2,24,26,85
2,3,2,3,3,2,2,22,42,82
3,3,4,6,6,2,2,23,21,157
2,4,5,5,4,2,2,29,24,39
4,5,5,5,4,2,1,27,19,76
3,5,5,3,2,1,2,20,21,221
3,5,6,5,5,1,2,24,21,90
4,5,7,5,1,2,2,44,27,216
1,4,3,3,1,1,2,33,28,74
3,3,6,4,5,2,2,37,34,55
4,5,4,4,5,1,2,26,32,112
3,5,5,6,4,2,2,19,27,60
4,3,5,3,3,1,2,28,22,63
1,3,4,5,4,2,2,27,37,110
2,5,5,5,5,2,2,18,27,140
1,6,6,6,3,2,1,30,27,115
1,6,6,7,6,2,2,26,28,64
1,6,4,4,3,1,2,39,29,182
4,5,6,6,5,2,2,47,28,74
3,4,2,5,4,2,2,25,22,214
4,6,5,4,4,1,2,26,24,63
5,5,5,5,4,2,2,44,23,92
6,6,5,6,6,2,2,29,26,101
3,4,3,2,2,1,2,30,26,57
4,6,4,4,4,1,2,37,32,117
3,4,5,4,4,1,2,39,19,104
3,4,5,6,3,2,1,32,24,173
5,3,6,3,1,1,2,34,30,68
3,5,5,4,4,2,2,26,24,72
3,4,5,6,3,2,2,22,28,49
5,4,3,3,3,1,2,22,27,147
1,6,3,6,2,2,2,24,29,97
4,5,6,4,3,2,2,24,23,76
3,4,6,5,3,2,2,20,27,90
3,3,3,2,3,1,2,35,44,83
5,7,6,6,7,2,2,49,26,54
1,6,6,5,7,2,2,30,32,81
4,1,4,3,1,1,1,25,34,79
1,2,4,1,1,1,2,26,28,112
3,6,4,7,5,2,2,26,29,107
4,5,7,3,3,2,2,29,38,102
5,4,5,4,4,1,2,34,18,53
3,5,4,5,4,2,2,32,19,67
1,5,5,5,5,1,2,23,31,92
1,6,6,6,6,2,2,36,36,88
1,2,2,3,3,1,2,23,20,82
7,5,6,3,4,1,2,26,29,74
2,5,5,5,3,2,2,33,30,116
2,5,5,4,5,2,1,23,23,109
4,7,7,3,4,1,2,34,24,97
1,5,4,1,5,1,2,34,24,46
1,7,7,7,7,2,2,25,36,241
3,5,5,5,4,2,2,30,29,153
2,3,5,4,3,2,2,21,41,70
5,6,6,7,5,2,2,45,26,75
4,5,6,2,4,1,2,25,22,123
2,4,5,5,2,2,2,23,25,126
1,7,6,1,7,1,2,31,36,159
5,4,5,3,4,1,2,23,29,48
3,6,6,2,6,1,1,25,28,122
1,4,5,4,4,2,2,49,27,73
4,1,7,1,1,1,2,21,30,163
1,5,4,6,5,2,2,23,33,91
5,5,7,4,5,2,2,40,24,58
5,3,4,5,3,1,2,22,32,103
1,5,5,5,5,2,2,24,28,64
4,4,6,1,5,1,2,37,24,74
1,6,6,5,4,1,2,21,37,126
2,5,5,6,4,2,2,29,19,188
1,6,5,4,4,2,2,25,28,99
4,4,6,4,5,1,1,20,43,65
6,3,7,1,5,1,1,31,26,104
5,4,5,3,2,1,2,34,29,443
3,4,1,4,5,2,2,20,31,95
1,5,5,5,4,2,2,21,28,127
4,4,4,4,4,1,2,31,31,100
3,6,5,5,4,2,2,31,23,96
2,5,5,4,5,1,2,23,19,117
4,4,1,1,5,1,2,27,29,66
4,4,5,2,5,1,2,33,24,107
3,7,6,5,4,2,2,38,33,118
6,4,6,5,5,1,2,34,31,101
2,6,5,6,5,2,1,27,28,87
4,6,6,3,2,1,2,25,32,62
3,3,5,4,5,2,2,33,21,74
3,6,5,5,3,2,2,25,28,96
1,4,7,5,5,2,2,30,30,114
2,2,3,3,2,1,2,23,26,58
4,5,4,4,4,1,2,48,18,170
2,3,5,1,3,1,NA,NA,34,NA
1,3,4,2,6,2,2,34,19,112
3,5,5,5,4,1,2,26,30,67
2,6,5,4,3,2,2,47,38,119
6,5,6,2,4,1,1,26,39,125
3,6,5,5,5,2,2,29,28,84
5,3,4,3,3,1,2,39,43,69
3,7,4,5,3,2,2,22,28,70
1,6,5,5,6,2,2,42,27,83
3,3,3,3,3,1,2,26,22,131
2,5,4,4,5,2,2,26,24,57
2,6,5,5,6,2,2,31,45,56
3,5,3,5,2,1,2,41,24,112
1,4,7,6,3,2,2,22,34,129
2,1,3,3,1,1,2,30,30,62
5,4,6,4,1,1,1,23,32,119
7,2,7,7,7,1,2,32,21,75
1,4,4,5,3,2,2,39,28,119
5,2,6,5,6,2,2,20,23,72
7,4,5,2,1,1,2,47,29,88
2,NA,5,5,4,2,2,19,18,93
2,7,5,7,5,2,2,37,25,124
2,7,5,5,4,2,2,29,20,66
2,5,5,3,3,1,2,29,35,112
7,4,4,1,4,1,2,32,28,79
2,5,5,5,3,2,2,18,23,149
2,4,3,4,4,1,1,27,23,76
3,3,3,5,5,2,NA,NA,22,NA
3,1,4,3,2,1,2,27,30,90
3,5,4,5,3,2,2,42,30,120
3,2,5,3,2,1,2,37,27,121
2,1,3,3,2,1,2,28,25,96
1,4,6,4,5,1,2,32,39,98
1,2,3,3,2,2,2,23,22,43
4,5,5,5,6,2,1,42,30,157
4,5,5,4,3,1,1,32,28,232
5,6,5,5,5,1,1,21,25,79
4,4,6,5,5,2,1,19,44,82
3,6,5,5,4,2,1,25,22,107
4,7,5,5,5,2,1,21,26,39
6,6,6,7,6,2,1,18,23,107
6,4,6,5,4,1,1,28,20,57
1,5,5,3,2,1,1,33,46,33
5,3,5,2,2,1,1,20,21,48
4,3,4,5,3,2,1,27,27,72
2,3,6,6,5,2,1,23,18,91
5,4,5,4,4,1,1,21,27,98
3,5,4,5,5,2,1,23,32,68
2,5,7,6,5,2,1,29,31,233
2,2,4,5,3,1,1,20,33,50
7,3,7,1,3,1,1,31,26,348
4,7,6,4,5,1,1,33,27,131
6,3,7,1,5,1,1,33,27,112
2,2,4,4,2,1,1,44,33,41
2,7,5,5,4,2,1,31,22,101
7,4,7,1,1,1,1,22,37,264
6,7,7,5,7,2,1,24,25,110
6,4,6,3,6,1,1,27,30,238
1,7,7,1,7,2,1,23,27,40
7,2,6,3,1,1,1,21,20,67
2,5,7,6,6,2,1,46,42,34
5,3,6,6,5,2,1,25,36,129
3,4,3,4,3,1,1,31,24,39
1,6,6,6,6,2,1,27,46,51
2,2,3,3,2,1,1,44,24,73
1,2,4,4,3,2,1,23,26,109
2,4,5,4,3,2,1,22,23,67
2,4,2,4,4,1,1,27,29,271
2,4,6,4,3,1,1,30,41,107
3,6,7,5,3,2,1,28,30,101
1,1,1,1,1,1,1,25,27,31
2,6,6,4,4,1,1,32,26,132
