"Arrogant","Creative","Confident","Desirable","Humorous","Decision","Female","Age","Rater.Age","word.count"
7,7,7,1,3,1,1,33,28,63
6,7,7,6,7,2,1,25,23,95
6,7,7,7,6,2,1,32,45,117
2,6,5,6,4,2,1,20,47,78
4,4,5,5,6,2,1,28,30,101
1,1,6,5,2,1,1,24,46,70
1,1,4,1,3,1,1,41,28,67
3,4,3,3,4,1,1,23,37,81
3,4,5,4,4,1,1,45,37,52
3,5,6,5,5,2,1,23,28,49
6,1,6,1,2,1,1,19,27,133
4,6,6,4,5,2,1,27,27,52
4,2,7,5,3,2,1,35,38,69
2,4,7,5,2,1,1,33,46,92
3,7,6,7,7,2,1,31,28,72
2,5,5,3,4,1,1,46,28,47
2,3,3,3,2,2,1,26,44,87
2,2,3,2,1,1,1,27,26,77
1,3,5,5,4,2,1,27,32,61
5,5,6,6,4,2,1,30,24,118
1,1,7,1,1,1,1,26,38,95
3,6,5,4,3,2,1,35,48,72
3,4,6,4,5,1,1,25,35,98
4,3,5,3,4,1,1,24,48,84
4,4,4,5,4,2,1,33,22,128
2,2,3,2,2,1,1,31,36,129
3,4,4,4,5,1,1,49,26,94
1,5,4,4,5,1,1,24,35,79
3,5,6,7,4,2,1,31,21,159
4,5,5,4,5,2,1,32,19,93
2,6,3,4,6,2,1,31,25,110
1,5,5,4,5,2,1,37,34,66
3,4,5,5,4,1,1,39,25,162
2,3,4,5,4,2,1,46,28,87
6,4,6,4,2,2,1,24,35,250
1,5,6,6,5,2,1,38,24,105
7,7,7,7,4,2,1,21,26,48
4,4,6,5,5,1,1,21,23,108
5,4,5,2,4,1,1,32,30,185
1,6,6,6,4,2,1,27,25,151
3,4,4,4,3,1,1,29,40,126
5,3,5,4,2,1,1,32,21,66
3,6,6,5,4,2,1,25,42,212
5,7,6,7,7,2,1,31,38,49
2,5,6,6,6,1,1,18,34,95
3,5,6,5,5,1,1,33,34,81
2,5,5,3,3,1,1,20,37,165
2,6,5,7,6,2,1,20,23,143
4,5,5,3,3,1,1,37,42,120
4,4,5,5,2,1,1,34,30,109
2,2,5,2,3,1,1,24,41,37
2,4,6,4,5,1,1,32,19,63
1,7,6,6,2,2,1,26,28,64
4,5,6,4,3,1,1,33,45,84
5,4,5,4,4,1,1,22,31,85
1,7,5,2,7,1,1,32,25,90
3,7,7,7,7,2,1,29,28,179
2,3,5,2,3,1,1,20,30,189
7,1,7,2,1,1,1,21,25,95
1,5,6,6,4,2,2,25,25,60
1,5,5,7,5,2,2,26,21,180
1,4,7,6,2,2,2,30,27,80
2,4,4,4,5,2,2,39,30,111
3,2,4,6,3,2,2,32,32,58
5,5,6,5,3,1,2,25,24,144
3,5,3,2,2,1,1,19,27,133
1,2,3,4,2,1,1,35,20,90
2,5,5,5,5,2,2,32,31,113
4,3,5,5,3,1,2,21,28,107
3,5,5,5,6,2,2,21,19,77
3,4,5,5,2,2,2,36,23,159
1,6,4,7,3,2,2,22,36,57
6,1,5,1,2,1,2,41,19,218
5,6,6,4,5,2,2,19,18,185
2,5,5,6,6,2,2,22,29,103
4,6,6,7,3,2,2,43,21,204
2,4,2,5,4,2,2,24,32,65
3,6,6,6,4,2,1,33,32,125
7,6,6,2,2,1,2,29,18,82
2,5,6,5,5,1,2,27,21,87
1,6,6,6,6,2,2,34,23,126
2,6,5,4,4,2,2,40,20,73
1,5,5,4,4,1,2,43,26,104
1,4,5,6,4,2,2,31,19,55
2,2,2,2,2,1,2,24,38,130
4,6,5,6,6,2,2,27,32,105
7,4,5,NA,6,1,2,35,23,84
2,2,2,3,2,1,2,20,30,40
5,4,5,3,2,1,1,23,23,100
6,4,7,4,4,1,2,22,28,136
3,2,2,1,2,1,2,48,20,103
4,4,5,5,2,1,2,23,33,96
2,4,5,5,3,1,2,27,20,80
3,3,4,4,3,1,2,23,33,93
3,6,6,5,5,1,2,21,25,110
1,4,5,1,4,1,2,42,28,69
3,4,3,6,5,2,2,26,27,96
3,5,5,3,3,1,2,19,47,59
6,6,7,5,6,1,2,37,29,128
1,7,7,4,5,1,1,31,30,54
4,5,6,6,4,1,2,45,27,119
6,3,5,2,3,1,2,40,22,168
1,6,4,6,5,2,2,25,19,115
6,6,7,4,3,1,2,21,24,149
2,4,6,6,5,2,2,24,32,128
5,6,6,5,5,1,2,24,27,97
4,2,3,6,3,1,2,48,27,39
2,5,6,6,6,2,2,27,38,253
2,4,4,3,3,1,2,30,26,46
2,6,7,7,5,2,2,25,27,185
2,5,5,5,4,2,1,32,31,136
1,5,5,5,5,2,2,37,29,72
2,6,6,6,5,2,2,21,28,144
3,3,5,3,3,1,2,20,21,238
3,6,6,7,4,2,2,29,32,269
2,3,6,3,4,1,2,48,31,103
6,1,7,1,1,1,2,26,20,92
3,4,5,5,3,2,2,25,23,98
2,5,5,5,5,2,2,31,29,211
3,4,4,4,5,1,2,20,18,105
4,4,5,3,3,1,2,26,22,78
2,6,4,4,4,2,1,28,25,106
6,5,4,4,5,2,2,28,24,90
1,4,5,5,2,1,2,20,25,91
2,4,6,6,6,2,2,21,18,90
5,5,NA,4,5,1,2,25,26,111
4,4,2,3,2,1,2,28,18,357
3,7,5,4,5,2,2,22,30,73
5,7,7,5,5,2,2,34,24,63
5,2,5,3,3,1,2,31,25,131
6,4,5,3,3,1,2,35,24,99
3,6,4,5,2,2,2,24,32,145
2,3,4,6,3,2,1,37,41,116
3,5,6,5,5,2,2,25,23,126
4,5,5,5,6,2,2,34,36,367
2,5,5,5,7,2,2,33,24,117
2,5,5,5,4,2,2,35,32,71
5,3,5,4,1,2,2,28,29,61
5,5,7,3,4,1,2,32,22,64
2,7,5,5,6,2,2,26,19,116
2,6,6,6,4,2,2,31,35,120
4,2,2,2,2,1,2,24,30,88
2,5,6,4,4,1,2,24,36,89
2,7,6,6,6,2,1,24,35,125
2,5,4,6,5,2,2,22,32,104
3,4,3,3,1,1,2,32,30,98
1,5,6,5,5,1,2,31,28,255
5,3,2,4,3,2,2,30,29,129
3,4,5,5,4,2,2,23,27,87
5,6,5,4,3,2,2,24,25,125
1,2,4,2,2,1,2,35,20,89
3,6,4,4,3,2,2,30,27,226
1,3,2,3,2,1,2,36,19,115
1,3,4,2,4,1,2,26,27,178
2,2,3,2,2,1,1,25,41,32
1,4,5,6,3,2,2,27,32,90
3,5,5,5,3,2,2,21,21,70
3,5,5,5,5,2,2,21,27,142
3,4,4,4,3,1,2,29,33,116
1,6,6,5,7,2,2,19,34,60
1,6,6,6,6,2,2,43,36,117
5,3,6,4,3,1,2,27,34,139
3,4,5,4,5,2,2,20,31,61
5,4,5,4,3,1,2,23,38,80
2,3,5,2,3,2,2,19,19,56
7,7,7,7,7,2,1,30,27,64
2,5,6,6,3,2,2,27,26,149
2,4,4,5,4,2,2,32,32,164
1,5,6,4,2,2,2,29,37,97
4,6,6,6,6,2,2,38,42,173
3,6,5,6,6,2,2,36,45,260
2,5,3,4,4,2,2,32,30,85
2,3,4,5,4,2,2,26,23,143
3,5,6,5,4,2,2,33,23,56
1,6,2,4,4,2,2,45,24,117
3,4,4,5,4,2,2,32,32,100
2,6,4,4,4,1,1,23,28,110
2,3,5,4,3,2,1,27,19,149
5,4,7,4,5,2,2,29,28,107
5,5,4,2,2,1,2,32,34,76
2,4,5,4,5,2,2,22,28,30
2,4,5,5,5,2,2,27,44,57
2,3,5,1,2,1,2,32,29,131
6,5,7,3,4,1,2,31,27,106
2,5,5,6,5,2,2,32,26,59
3,4,4,4,3,2,2,27,27,102
2,6,6,3,3,1,2,27,30,158
3,3,5,3,1,1,2,38,33,84
4,5,4,4,5,2,1,26,36,189
1,4,5,5,4,2,2,43,28,54
3,3,3,1,2,1,2,22,39,86
1,2,5,5,2,2,2,30,19,84
3,3,6,6,3,2,2,25,20,64
6,4,5,5,4,2,2,34,28,80
5,5,2,3,2,1,2,37,27,90
2,4,4,6,5,2,2,31,20,89
2,4,5,4,3,1,2,28,20,124
6,5,5,6,6,2,2,27,32,69
3,3,2,2,3,1,2,34,25,155
1,6,6,5,5,1,1,49,22,124
3,6,5,5,4,2,2,20,20,69
2,5,6,4,5,2,2,23,31,73
1,2,4,2,2,1,2,45,23,150
4,6,5,5,5,2,2,22,41,80
5,4,6,5,2,1,2,37,30,110
2,4,5,6,6,2,2,26,27,152
5,5,6,5,4,2,2,22,22,145
2,4,4,1,4,1,2,34,28,112
6,3,6,3,3,1,2,33,21,83
2,2,4,2,2,1,2,27,23,40
3,3,4,5,2,1,1,23,35,137
3,7,6,6,5,2,2,33,34,83
4,5,5,5,4,2,2,19,22,110
6,3,3,4,5,2,2,36,29,82
1,6,6,6,5,2,2,29,36,56
2,4,4,3,3,1,2,48,29,159
2,5,5,4,6,2,2,21,41,106
3,4,4,4,2,1,2,31,23,118
1,4,4,4,2,1,2,39,25,129
3,4,6,4,2,1,2,28,30,185
1,6,6,6,5,2,2,26,48,32
4,6,7,6,4,1,1,24,38,210
2,5,6,5,4,2,2,35,24,124
1,6,6,6,6,2,2,31,31,80
1,3,7,2,1,1,2,32,37,68
1,5,5,3,2,2,2,27,38,72
3,4,5,5,3,2,2,30,38,76
2,2,4,4,4,2,2,22,18,102
4,3,4,1,2,1,2,23,21,43
